"filename", "language", "Haxe", "C++", "comment", "blank", "total"
"d:\hyper-engine-2025\source\backend\AlsoftConfig.hx", "Haxe", 18, 0, 0, 5, 23
"d:\hyper-engine-2025\source\backend\DiscordClient.hx", "Haxe", 9, 0, 0, 6, 15
"d:\hyper-engine-2025\source\backend\FunkinState.hx", "Haxe", 6, 0, 0, 4, 10
"d:\hyper-engine-2025\source\backend\WeekData.hx", "Haxe", 38, 0, 4, 6, 48
"d:\hyper-engine-2025\source\backend\WeekFile.hx", "Haxe", 16, 0, 0, 5, 21
"d:\hyper-engine-2025\source\editors\CharacterEditorState.hx", "Haxe", 140, 0, 4, 37, 181
"d:\hyper-engine-2025\source\editors\ChartEditorState.hx", "Haxe", 830, 0, 84, 195, 1109
"d:\hyper-engine-2025\source\effects\NoteSplash.hx", "Haxe", 35, 0, 2, 11, 48
"d:\hyper-engine-2025\source\effects\shaders\IDK.hx", "Haxe", 154, 0, 28, 36, 218
"d:\hyper-engine-2025\source\effects\shaders\Pixelate.hx", "Haxe", 70, 0, 3, 12, 85
"d:\hyper-engine-2025\source\effects\shaders\RGBPalette.hx", "Haxe", 129, 0, 2, 28, 159
"d:\hyper-engine-2025\source\effects\shaders\WiggleEffect.hx", "Haxe", 93, 0, 11, 20, 124
"d:\hyper-engine-2025\source\external\gamemode_client.h", "C++", 0, 209, 125, 42, 376
"d:\hyper-engine-2025\source\flixel\system\FlxSplash.hx", "Haxe", 172, 0, 5, 34, 211
"d:\hyper-engine-2025\source\loading\Init.hx", "Haxe", 32, 0, 0, 6, 38
"d:\hyper-engine-2025\source\loading\LoadingCircle.hx", "Haxe", 17, 0, 0, 9, 26
"d:\hyper-engine-2025\source\loading\LoadingScreen.hx", "Haxe", 33, 0, 0, 9, 42
"d:\hyper-engine-2025\source\macros\LibraryInfoMacro.hx", "Haxe", 30, 0, 0, 5, 35
"d:\hyper-engine-2025\source\ofl\fps\FPS_Mem.hx", "Haxe", 36, 0, 0, 16, 52
"d:\hyper-engine-2025\source\stages\School.hx", "Haxe", 115, 0, 2, 26, 143
"d:\hyper-engine-2025\source\stages\StageWeek1.hx", "Haxe", 28, 0, 0, 4, 32
"d:\hyper-engine-2025\source\util\MapFuncs.hx", "Haxe", 2, 0, 0, 2, 4
"Total", "-", 7244, 209, 694, 1740, 9887
