Date : 2024-12-31 20:03:09
Directory : d:\hyper-engine-2025
Total : 245 files,  433467 codes, 788 comments, 1883 blanks, all 436138 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\hyper-engine-2025\assets\data\senpai\senpai-hard.json                                     | JSON     |          1 |          0 |          0 |          1 |
| d:\hyper-engine-2025\assets\data\senpai\senpai.json                                          | JSON     |          1 |          0 |          0 |          1 |
| d:\hyper-engine-2025\assets\data\smash\smash.json                                            | JSON     |      2,026 |          0 |          0 |      2,026 |
| d:\hyper-engine-2025\assets\data\south\south-easy.json                                       | JSON     |          1 |          0 |          0 |          1 |
| d:\hyper-engine-2025\assets\data\south\south-hard.json                                       | JSON     |          1 |          0 |          0 |          1 |
| d:\hyper-engine-2025\assets\data\south\south.json                                            | JSON     |          1 |          0 |          0 |          1 |
| d:\hyper-engine-2025\assets\data\spookeez\spookeez-easy.json                                 | JSON     |          1 |          0 |          0 |          1 |
| d:\hyper-engine-2025\assets\data\spookeez\spookeez-hard.json                                 | JSON     |          1 |          0 |          0 |          1 |
| d:\hyper-engine-2025\assets\data\spookeez\spookeez.json                                      | JSON     |          1 |          0 |          0 |          1 |
| d:\hyper-engine-2025\assets\data\test\test.json                                              | JSON     |          1 |          0 |          0 |          1 |
| d:\hyper-engine-2025\assets\data\thorns\events.json                                          | JSON     |         58 |          0 |          0 |         58 |
| d:\hyper-engine-2025\assets\data\thorns\thorns-easy.json                                     | JSON     |          1 |          0 |          0 |          1 |
| d:\hyper-engine-2025\assets\data\thorns\thorns-hard.json                                     | JSON     |          1 |          0 |          0 |          1 |
| d:\hyper-engine-2025\assets\data\thorns\thorns.json                                          | JSON     |          1 |          0 |          0 |          1 |
| d:\hyper-engine-2025\assets\data\tutorial\events.json                                        | JSON     |          1 |          0 |          0 |          1 |
| d:\hyper-engine-2025\assets\data\tutorial\tutorial-easy.json                                 | JSON     |          1 |          0 |          0 |          1 |
| d:\hyper-engine-2025\assets\data\tutorial\tutorial-hard.json                                 | JSON     |          1 |          0 |          0 |          1 |
| d:\hyper-engine-2025\assets\data\tutorial\tutorial.json                                      | JSON     |          1 |          0 |          0 |          1 |
| d:\hyper-engine-2025\assets\data\winter-horrorland\events.json                               | JSON     |          1 |          0 |          0 |          1 |
| d:\hyper-engine-2025\assets\data\winter-horrorland\winter-horrorland-easy.json               | JSON     |          1 |          0 |          0 |          1 |
| d:\hyper-engine-2025\assets\data\winter-horrorland\winter-horrorland-hard.json               | JSON     |          1 |          0 |          0 |          1 |
| d:\hyper-engine-2025\assets\data\winter-horrorland\winter-horrorland.json                    | JSON     |          1 |          0 |          0 |          1 |
| d:\hyper-engine-2025\assets\images\NOTE_assets.xml                                           | XML      |         51 |          2 |          1 |         54 |
| d:\hyper-engine-2025\assets\images\alphabet.xml                                              | XML      |        599 |          2 |          1 |        602 |
| d:\hyper-engine-2025\assets\images\characters\Duet_Assets.xml                                | XML      |        210 |          2 |          1 |        213 |
| d:\hyper-engine-2025\assets\images\characters\bf.xml                                         | XML      |        373 |          2 |          1 |        376 |
| d:\hyper-engine-2025\assets\images\characters\bfPixel.xml                                    | XML      |        129 |          2 |          1 |        132 |
| d:\hyper-engine-2025\assets\images\characters\bfPixelsDEAD.xml                               | XML      |        129 |          2 |          1 |        132 |
| d:\hyper-engine-2025\assets\images\characters\dad.xml                                        | XML      |        127 |          2 |          1 |        130 |
| d:\hyper-engine-2025\assets\images\characters\gf.xml                                         | XML      |         33 |          2 |          1 |         36 |
| d:\hyper-engine-2025\assets\images\characters\gfPixel.xml                                    | XML      |         33 |          2 |          1 |         36 |
| d:\hyper-engine-2025\assets\images\characters\senpai.xml                                     | XML      |        157 |          2 |          1 |        160 |
| d:\hyper-engine-2025\assets\images\freeplay\BFfreeplay.xml                                   | XML      |         64 |          2 |          1 |         67 |
| d:\hyper-engine-2025\assets\images\freeplay\albumRoll\expansion1-text.xml                    | XML      |         17 |          0 |          1 |         18 |
| d:\hyper-engine-2025\assets\images\freeplay\albumRoll\expansion2-text.xml                    | XML      |         17 |          0 |          1 |         18 |
| d:\hyper-engine-2025\assets\images\freeplay\albumRoll\freeplayAlbum\Animation.json           | JSON     |      1,504 |          0 |          0 |      1,504 |
| d:\hyper-engine-2025\assets\images\freeplay\albumRoll\freeplayAlbum\spritemap1.json          | JSON     |         12 |          0 |          1 |         13 |
| d:\hyper-engine-2025\assets\images\freeplay\albumRoll\volume1-text.xml                       | XML      |         15 |          0 |          1 |         16 |
| d:\hyper-engine-2025\assets\images\freeplay\albumRoll\volume2-text.xml                       | XML      |         13 |          0 |          1 |         14 |
| d:\hyper-engine-2025\assets\images\freeplay\albumRoll\volume3-text.xml                       | XML      |         15 |          0 |          1 |         16 |
| d:\hyper-engine-2025\assets\images\freeplay\backing-text-yeah\Animation.json                 | JSON     |        557 |          0 |          0 |        557 |
| d:\hyper-engine-2025\assets\images\freeplay\backing-text-yeah\spritemap1.json                | JSON     |         15 |          0 |          1 |         16 |
| d:\hyper-engine-2025\assets\images\freeplay\backingCards\pico\pico-confirm\Animation.json    | JSON     |      8,014 |          0 |          0 |      8,014 |
| d:\hyper-engine-2025\assets\images\freeplay\backingCards\pico\pico-confirm\spritemap1.json   | JSON     |         49 |          0 |          1 |         50 |
| d:\hyper-engine-2025\assets\images\freeplay\backingCards\pico\topLoop.xml                    | XML      |        148 |          2 |          1 |        151 |
| d:\hyper-engine-2025\assets\images\freeplay\favHeart.xml                                     | XML      |         16 |          0 |          1 |         17 |
| d:\hyper-engine-2025\assets\images\freeplay\freeplay-boyfriend\Animation.json                | JSON     |    266,562 |          0 |          0 |    266,562 |
| d:\hyper-engine-2025\assets\images\freeplay\freeplay-boyfriend\spritemap1.json               | JSON     |        286 |          0 |          1 |        287 |
| d:\hyper-engine-2025\assets\images\freeplay\freeplay-pico\Animation.json                     | JSON     |    138,240 |          0 |          0 |    138,240 |
| d:\hyper-engine-2025\assets\images\freeplay\freeplay-pico\spritemap1.json                    | JSON     |        190 |          0 |          1 |        191 |
| d:\hyper-engine-2025\assets\images\freeplay\freeplayCapsule\bignumbers.xml                   | XML      |         13 |          2 |          1 |         16 |
| d:\hyper-engine-2025\assets\images\freeplay\freeplayCapsule\capsule\freeplayCapsule.xml      | XML      |         19 |          0 |          1 |         20 |
| d:\hyper-engine-2025\assets\images\freeplay\freeplayCapsule\capsule\freeplayCapsule_pico.xml | XML      |         19 |          2 |          1 |         22 |
| d:\hyper-engine-2025\assets\images\freeplay\freeplayCapsule\new.xml                          | XML      |         48 |          2 |          1 |         51 |
| d:\hyper-engine-2025\assets\images\freeplay\freeplayCapsule\smallnumbers.xml                 | XML      |         13 |          2 |          1 |         16 |
| d:\hyper-engine-2025\assets\images\freeplay\freeplayCapsule\weektypes.xml                    | XML      |          5 |          2 |          1 |          8 |
| d:\hyper-engine-2025\assets\images\freeplay\freeplayFlame.xml                                | XML      |         13 |          0 |          1 |         14 |
| d:\hyper-engine-2025\assets\images\freeplay\freeplaySelector.xml                             | XML      |         18 |          0 |          1 |         19 |
| d:\hyper-engine-2025\assets\images\freeplay\freeplaySelector\freeplaySelector.xml            | XML      |         18 |          0 |          1 |         19 |
| d:\hyper-engine-2025\assets\images\freeplay\freeplaySelector\freeplaySelector_pico.xml       | XML      |         18 |          2 |          1 |         21 |
| d:\hyper-engine-2025\assets\images\freeplay\freeplayStars\Animation.json                     | JSON     |          1 |          0 |          1 |          2 |
| d:\hyper-engine-2025\assets\images\freeplay\freeplayStars\spritemap1.json                    | JSON     |          1 |          0 |          1 |          2 |
| d:\hyper-engine-2025\assets\images\freeplay\freeplaynightmare.xml                            | XML      |         28 |          0 |          1 |         29 |
| d:\hyper-engine-2025\assets\images\freeplay\highscore.xml                                    | XML      |         30 |          0 |          1 |         31 |
| d:\hyper-engine-2025\assets\images\freeplay\icons\bfpixel.xml                                | XML      |          9 |          0 |          3 |         12 |
| d:\hyper-engine-2025\assets\images\freeplay\icons\dadpixel.xml                               | XML      |          9 |          0 |          3 |         12 |
| d:\hyper-engine-2025\assets\images\freeplay\icons\darnellpixel.xml                           | XML      |          9 |          0 |          3 |         12 |
| d:\hyper-engine-2025\assets\images\freeplay\icons\gfpixel.xml                                | XML      |          9 |          0 |          3 |         12 |
| d:\hyper-engine-2025\assets\images\freeplay\icons\mommypixel.xml                             | XML      |         10 |          0 |          3 |         13 |
| d:\hyper-engine-2025\assets\images\freeplay\icons\monsterpixel.xml                           | XML      |          9 |          0 |          3 |         12 |
| d:\hyper-engine-2025\assets\images\freeplay\icons\parents-christmaspixel.xml                 | XML      |         10 |          0 |          3 |         13 |
| d:\hyper-engine-2025\assets\images\freeplay\icons\picopixel.xml                              | XML      |          9 |          0 |          3 |         12 |
| d:\hyper-engine-2025\assets\images\freeplay\icons\senpaipixel.xml                            | XML      |          9 |          0 |          3 |         12 |
| d:\hyper-engine-2025\assets\images\freeplay\icons\spiritpixel.xml                            | XML      |          9 |          0 |          3 |         12 |
| d:\hyper-engine-2025\assets\images\freeplay\icons\spookypixel.xml                            | XML      |          9 |          0 |          3 |         12 |
| d:\hyper-engine-2025\assets\images\freeplay\icons\tankmanpixel.xml                           | XML      |          9 |          0 |          3 |         12 |
| d:\hyper-engine-2025\assets\images\freeplay\instBox\instBox.xml                              | XML      |         13 |          0 |          1 |         14 |
| d:\hyper-engine-2025\assets\images\freeplay\letterStuff.xml                                  | XML      |         34 |          0 |          1 |         35 |
| d:\hyper-engine-2025\assets\images\freeplay\rankbadges.xml                                   | XML      |         88 |          2 |          1 |         91 |
| d:\hyper-engine-2025\assets\images\freeplay\sortedLetters\Animation.json                     | JSON     |          1 |          0 |          1 |          2 |
| d:\hyper-engine-2025\assets\images\freeplay\sortedLetters\spritemap1.json                    | JSON     |          1 |          0 |          1 |          2 |
| d:\hyper-engine-2025\assets\images\freeplay\sparkle.xml                                      | XML      |         13 |          2 |          1 |         16 |
| d:\hyper-engine-2025\assets\images\freeplay\sparks.xml                                       | XML      |          8 |          2 |          1 |         11 |
| d:\hyper-engine-2025\assets\images\freeplay\sparksadd.xml                                    | XML      |          8 |          2 |          1 |         11 |
| d:\hyper-engine-2025\assets\images\menu\freeplay.xml                                         | XML      |         15 |          0 |          1 |         16 |
| d:\hyper-engine-2025\assets\images\menu\options.xml                                          | XML      |         15 |          0 |          1 |         16 |
| d:\hyper-engine-2025\assets\images\menu\story_mode.xml                                       | XML      |         15 |          0 |          1 |         16 |
| d:\hyper-engine-2025\assets\images\noteSplashes.xml                                          | XML      |         35 |          2 |          1 |         38 |
| d:\hyper-engine-2025\assets\images\title\gfDanceTitle.xml                                    | XML      |         33 |          2 |          1 |         36 |
| d:\hyper-engine-2025\assets\images\title\logoBumpin.xml                                      | XML      |         18 |          2 |          1 |         21 |
| d:\hyper-engine-2025\assets\images\title\titleEnter.xml                                      | XML      |         57 |          2 |          1 |         60 |
| d:\hyper-engine-2025\assets\images\weeb\animatedEvilSchool.xml                               | XML      |         43 |          2 |          1 |         46 |
| d:\hyper-engine-2025\assets\images\weeb\bfPortrait.xml                                       | XML      |         12 |          2 |          1 |         15 |
| d:\hyper-engine-2025\assets\images\weeb\bgFreaks.xml                                         | XML      |         63 |          2 |          1 |         66 |
| d:\hyper-engine-2025\assets\images\weeb\bgGhouls.xml                                         | XML      |         22 |          2 |          1 |         25 |
| d:\hyper-engine-2025\assets\images\weeb\petals.xml                                           | XML      |         59 |          2 |          1 |         62 |
| d:\hyper-engine-2025\assets\images\weeb\pixelUI\dialogueBox-evil.xml                         | XML      |         15 |          2 |          1 |         18 |
| d:\hyper-engine-2025\assets\images\weeb\pixelUI\dialogueBox-pixel.xml                        | XML      |          8 |          2 |          1 |         11 |
| d:\hyper-engine-2025\assets\images\weeb\pixelUI\dialogueBox-senpaiMad.xml                    | XML      |         11 |          2 |          1 |         14 |
| d:\hyper-engine-2025\assets\images\weeb\senpaiCrazy.xml                                      | XML      |        128 |          2 |          1 |        131 |
| d:\hyper-engine-2025\assets\images\weeb\senpaiPortrait.xml                                   | XML      |         12 |          2 |          1 |         15 |
| d:\hyper-engine-2025\assets\locales\index.xml                                                | XML      |         11 |          0 |          0 |         11 |
| d:\hyper-engine-2025\assets\stages\school.json                                               | JSON     |         10 |          0 |          4 |         14 |
| d:\hyper-engine-2025\assets\stages\stage.json                                                | JSON     |         10 |          0 |          4 |         14 |
| d:\hyper-engine-2025\assets\weeks\tutorial.json                                              | JSON     |         15 |          0 |          1 |         16 |
| d:\hyper-engine-2025\assets\weeks\week1.json                                                 | JSON     |         25 |          0 |          1 |         26 |
| d:\hyper-engine-2025\assets\weeks\week2.json                                                 | JSON     |         25 |          0 |          1 |         26 |
| d:\hyper-engine-2025\assets\weeks\week3.json                                                 | JSON     |         25 |          0 |          1 |         26 |
| d:\hyper-engine-2025\assets\weeks\week4.json                                                 | JSON     |         25 |          0 |          1 |         26 |
| d:\hyper-engine-2025\assets\weeks\week5.json                                                 | JSON     |         25 |          0 |          1 |         26 |
| d:\hyper-engine-2025\assets\weeks\week6.json                                                 | JSON     |         25 |          0 |          1 |         26 |
| d:\hyper-engine-2025\root\alsoft.ini                                                         | Ini      |         14 |          0 |          0 |         14 |
| d:\hyper-engine-2025\source\Alphabet.hx                                                      | Haxe     |        412 |         15 |         64 |        491 |
| d:\hyper-engine-2025\source\AssetPaths.hx                                                    | Haxe     |          7 |          0 |          4 |         11 |
| d:\hyper-engine-2025\source\BGSprite.hx                                                      | Haxe     |         34 |          3 |          6 |         43 |
| d:\hyper-engine-2025\source\Bar.hx                                                           | Haxe     |        121 |          3 |         28 |        152 |
| d:\hyper-engine-2025\source\BaseStage.hx                                                     | Haxe     |         36 |          0 |         13 |         49 |
